inventory_id,dealer_id,product_id,stock_level,reorder_threshold,last_restock_date,last_sold_date,location,daily_consumption_rate,avg_monthly_demand,supplier_lead_time,order_quantity,days_since_restock,days_since_last_sold,safety_stock_level,historical_sales,stock_reorder_flag,stock_value
1,202,5036,492,64,2024-12-05 06:08:32.792543,2025-02-19 06:08:32.866568,Warehouse B,4.33,129,25,138,79,3,162,4118,0,37810.0
2,448,9401,47,70,2025-01-24 06:08:32.792584,2025-01-08 06:08:32.866596,Warehouse A,3.47,104,23,153,29,45,119,2504,1,2618.21
3,370,4727,126,50,2025-01-27 06:08:32.792591,2025-01-19 06:08:32.866606,Distribution Hub,0.53,15,11,28,26,34,8,3048,0,9030.19
4,206,4928,168,45,2025-01-26 06:08:32.792598,2025-02-13 06:08:32.866615,Store X,4.35,130,26,85,27,9,169,1039,0,12575.06
5,171,3803,353,11,2024-12-17 06:08:32.792603,2024-12-31 06:08:32.866624,Warehouse A,0.59,17,19,142,67,53,16,2760,0,7737.26
6,288,7558,373,31,2024-12-17 06:08:32.792609,2025-01-16 06:08:32.866634,Store X,4.5,135,15,192,67,37,101,1133,0,34639.02
7,120,1393,442,31,2025-01-18 06:08:32.792614,2025-01-04 06:08:32.866643,Warehouse B,2.0,60,10,71,35,49,30,1916,0,32635.22
8,202,7839,348,50,2024-12-24 06:08:32.792622,2025-01-24 06:08:32.866653,Store X,3.64,109,9,142,60,29,49,3744,0,4939.72
9,221,9795,66,23,2024-12-23 06:08:32.792629,2025-01-12 06:08:32.866664,Store X,4.04,121,8,130,61,41,48,2147,0,5727.69
10,314,1581,329,44,2024-12-14 06:08:32.792636,2025-02-14 06:08:32.866674,Warehouse A,1.77,53,10,144,70,8,26,2842,0,7606.87
11,430,1132,339,59,2024-12-06 06:08:32.792642,2025-02-07 06:08:32.866684,Warehouse A,2.1,63,11,117,78,15,34,877,0,20579.15
12,187,3838,193,18,2025-02-19 06:08:32.792647,2025-01-02 06:08:32.866693,Distribution Hub,2.79,83,16,87,3,51,66,4041,0,6706.02
13,472,4385,154,68,2025-01-20 06:08:32.792653,2025-02-19 06:08:32.866702,Store X,3.12,93,18,42,33,3,84,1015,0,9193.39
14,199,4770,159,65,2025-01-11 06:08:32.792658,2025-01-28 06:08:32.866712,Warehouse A,1.81,54,28,15,42,25,76,4258,0,14210.39
15,459,3268,183,19,2025-02-09 06:08:32.792663,2025-01-25 06:08:32.866722,Distribution Hub,4.97,149,6,91,13,28,44,3116,0,16399.37
16,251,1975,265,34,2025-01-24 06:08:32.792669,2025-01-26 06:08:32.866730,Store X,3.82,114,24,143,29,27,137,2652,0,21113.87
17,230,8605,167,54,2025-02-13 06:08:32.792674,2025-02-12 06:08:32.866740,Store X,1.73,51,27,60,9,10,70,2151,0,13760.55
18,249,8213,144,20,2025-01-21 06:08:32.792680,2025-01-26 06:08:32.866750,Warehouse B,3.38,101,7,21,32,27,35,4436,0,7665.52
19,408,3835,185,18,2025-01-31 06:08:32.792685,2025-01-10 06:08:32.866759,Warehouse A,2.46,73,9,123,22,43,33,3327,0,16186.8
20,357,3738,373,16,2024-11-28 06:08:32.792691,2025-01-22 06:08:32.866768,Store Y,4.37,131,14,131,86,31,91,2444,0,18415.62
21,443,5134,352,80,2024-12-26 06:08:32.792696,2025-01-30 06:08:32.866777,Warehouse A,1.98,59,11,141,58,23,32,1289,0,8726.67
22,393,7833,261,43,2024-12-27 06:08:32.792701,2025-01-03 06:08:32.866786,Warehouse B,1.35,40,13,10,57,50,26,4718,0,23569.68
23,485,9353,422,92,2025-02-12 06:08:32.792707,2025-01-12 06:08:32.866795,Distribution Hub,0.71,21,26,61,10,41,27,2902,0,20533.42
24,291,2909,494,29,2025-01-28 06:08:32.792712,2025-01-15 06:08:32.866804,Warehouse A,4.93,147,22,62,25,38,162,2969,0,30664.81
25,376,2963,273,98,2024-12-22 06:08:32.792717,2025-02-16 06:08:32.866813,Store X,2.12,63,29,102,62,6,92,3894,0,17613.24
26,260,6153,456,14,2024-12-21 06:08:32.792723,2025-02-05 06:08:32.866823,Store Y,1.49,44,10,23,63,17,22,3891,0,5843.78
27,413,1966,327,64,2024-12-08 06:08:32.792729,2025-02-20 06:08:32.866832,Distribution Hub,2.71,81,14,158,76,2,56,3558,0,12631.51
28,121,1889,344,98,2025-02-19 06:08:32.792734,2025-01-10 06:08:32.866841,Warehouse A,1.81,54,16,114,3,43,43,3227,0,13445.36
29,352,4061,222,24,2024-12-01 06:08:32.792739,2025-01-08 06:08:32.866850,Distribution Hub,1.55,46,6,168,83,45,13,2966,0,16225.73
